Method,Memory_KB
baseline,2260
baseline,2260
baseline,2132
baseline,2024
baseline,2148
frida_complex_v8,37968
baseline,2148
baseline,2088
baseline,2088
baseline,2280
baseline,2132
ldpreload,2104
ldpreload,2268
ldpreload,2272
ldpreload,2268
ldpreload,2272
ldpreload,2292
ldpreload,2272
ldpreload,2296
ldpreload,2296
ldpreload,2268
frida_onenter_v8,31884
frida_onenter_v8,32200
frida_onenter_v8,31896
frida_onenter_v8,31772
frida_onenter_v8,31784
frida_onenter_v8,33940
frida_onenter_v8,31896
frida_onenter_v8,31860
frida_onenter_v8,31876
frida_onenter_v8,31768
frida_onleave_v8,33932
frida_onleave_v8,31848
frida_onleave_v8,31804
frida_onleave_v8,31888
frida_onleave_v8,31880
frida_onleave_v8,32000
frida_onleave_v8,31888
frida_onleave_v8,32192
frida_onleave_v8,32192
frida_onleave_v8,31992
frida_both_v8,31900
frida_both_v8,31896
frida_both_v8,32208
frida_both_v8,33944
frida_both_v8,31808
frida_both_v8,31880
frida_both_v8,31892
frida_both_v8,33892
frida_both_v8,31880
frida_both_v8,31876
frida_onenter_qjs,33976
frida_onenter_qjs,31888
frida_onenter_qjs,31896
frida_onenter_qjs,31888
frida_onenter_qjs,31884
frida_onenter_qjs,31884
frida_onenter_qjs,31872
frida_onenter_qjs,31924
frida_onenter_qjs,31800
frida_onenter_qjs,31984
frida_onleave_qjs,31884
frida_onleave_qjs,31784
frida_onleave_qjs,31784
frida_onleave_qjs,31892
frida_onleave_qjs,31896
frida_onleave_qjs,31788
frida_onleave_qjs,31888
frida_onleave_qjs,31892
frida_onleave_qjs,31876
frida_onleave_qjs,31800
frida_both_qjs,31772
frida_both_qjs,31788
frida_both_qjs,31880
frida_both_qjs,31876
frida_both_qjs,31896
frida_both_qjs,31896
frida_both_qjs,31972
frida_both_qjs,31892
frida_both_qjs,31892
frida_both_qjs,31892
frida_cmodule,31896
frida_cmodule,31856
frida_cmodule,32000
frida_cmodule,31788
frida_cmodule,31876
frida_cmodule,31900
frida_cmodule,31788
frida_cmodule,31880
frida_cmodule,31780
frida_cmodule,31908
baseline_complex,2280
baseline_complex,2152
baseline_complex,2152
baseline_complex,2024
baseline_complex,2152
baseline_complex,2260
baseline_complex,2020
baseline_complex,2152
baseline_complex,2280
baseline_complex,2260
ldpreload_complex,2296
ldpreload_complex,2292
ldpreload_complex,2268
ldpreload_complex,2272
ldpreload_complex,2268
ldpreload_complex,2268
ldpreload_complex,2268
ldpreload_complex,2268
ldpreload_complex,2268
ldpreload_complex,2292
frida_complex_v8,35932
frida_complex_v8,31876
frida_complex_v8,33932
frida_complex_v8,36116
frida_complex_v8,35656
frida_complex_v8,33796
frida_complex_v8,35768
frida_complex_v8,33700
frida_complex_v8,35676
frida_complex_qjs,33812
frida_complex_qjs,33792
frida_complex_qjs,35848
frida_complex_qjs,33808
frida_complex_qjs,33792
frida_complex_qjs,33792
frida_complex_qjs,33812
frida_complex_qjs,33816
frida_complex_qjs,33808
frida_complex_qjs,33704
