Method,Function,Time_us
baseline,hot_path,3128
baseline,heavy_work,89968
baseline,recursive,8268
baseline,array_ops,30020
baseline,memory_ops,25368
baseline,hot_path,2937
baseline,heavy_work,89413
baseline,recursive,8196
baseline,array_ops,29080
baseline,memory_ops,25219
baseline,hot_path,2990
baseline,heavy_work,89547
baseline,recursive,8144
baseline,array_ops,28773
baseline,memory_ops,24805
baseline,hot_path,2918
baseline,heavy_work,89149
baseline,recursive,8073
baseline,array_ops,28617
baseline,memory_ops,25183
baseline,hot_path,3047
baseline,heavy_work,90697
baseline,recursive,8225
baseline,array_ops,39981
baseline,memory_ops,26193
frida_complex_v8,complex_ops,27453768
baseline,hot_path,3262
baseline,heavy_work,93546
baseline,recursive,8260
baseline,array_ops,30136
baseline,memory_ops,25785
baseline,hot_path,7008
baseline,heavy_work,109312
baseline,recursive,8215
baseline,array_ops,31640
baseline,memory_ops,28938
baseline,hot_path,3096
baseline,heavy_work,92659
baseline,recursive,8884
baseline,array_ops,37190
baseline,memory_ops,27019
baseline,hot_path,3386
baseline,heavy_work,94001
baseline,recursive,8420
baseline,array_ops,35825
baseline,memory_ops,26297
baseline,hot_path,3966
baseline,heavy_work,95226
baseline,recursive,8503
baseline,array_ops,32324
baseline,memory_ops,25137
ldpreload,hot_path,4429
ldpreload,heavy_work,96482
ldpreload,recursive,9597
ldpreload,array_ops,48106
ldpreload,memory_ops,31248
ldpreload,hot_path,4440
ldpreload,heavy_work,95634
ldpreload,recursive,9057
ldpreload,array_ops,38706
ldpreload,memory_ops,30807
ldpreload,hot_path,4284
ldpreload,heavy_work,93046
ldpreload,recursive,8975
ldpreload,array_ops,32293
ldpreload,memory_ops,27375
ldpreload,hot_path,4657
ldpreload,heavy_work,95211
ldpreload,recursive,9397
ldpreload,array_ops,37872
ldpreload,memory_ops,30445
ldpreload,hot_path,4081
ldpreload,heavy_work,92090
ldpreload,recursive,8489
ldpreload,array_ops,30402
ldpreload,memory_ops,25385
ldpreload,hot_path,3991
ldpreload,heavy_work,91255
ldpreload,recursive,8828
ldpreload,array_ops,33824
ldpreload,memory_ops,30511
ldpreload,hot_path,4182
ldpreload,heavy_work,93851
ldpreload,recursive,8830
ldpreload,array_ops,31296
ldpreload,memory_ops,26477
ldpreload,hot_path,4062
ldpreload,heavy_work,91555
ldpreload,recursive,8719
ldpreload,array_ops,30769
ldpreload,memory_ops,27889
ldpreload,hot_path,4112
ldpreload,heavy_work,90060
ldpreload,recursive,8569
ldpreload,array_ops,29548
ldpreload,memory_ops,25501
ldpreload,hot_path,4066
ldpreload,heavy_work,92667
ldpreload,recursive,8841
ldpreload,array_ops,32064
ldpreload,memory_ops,28479
frida_onenter_v8,hot_path,2861011
frida_onenter_v8,heavy_work,3005669
frida_onenter_v8,recursive,2970637
frida_onenter_v8,array_ops,353134
frida_onenter_v8,memory_ops,3018444
frida_onenter_v8,hot_path,2706493
frida_onenter_v8,heavy_work,2830444
frida_onenter_v8,recursive,2732539
frida_onenter_v8,array_ops,292006
frida_onenter_v8,memory_ops,2672777
frida_onenter_v8,hot_path,2748631
frida_onenter_v8,heavy_work,2690508
frida_onenter_v8,recursive,2605264
frida_onenter_v8,array_ops,289037
frida_onenter_v8,memory_ops,2646959
frida_onenter_v8,hot_path,2709671
frida_onenter_v8,heavy_work,2685112
frida_onenter_v8,recursive,2660929
frida_onenter_v8,array_ops,298771
frida_onenter_v8,memory_ops,2716393
frida_onenter_v8,hot_path,2830960
frida_onenter_v8,heavy_work,2936080
frida_onenter_v8,recursive,2879962
frida_onenter_v8,array_ops,322183
frida_onenter_v8,memory_ops,2965626
frida_onenter_v8,hot_path,2879475
frida_onenter_v8,heavy_work,2901437
frida_onenter_v8,recursive,2905372
frida_onenter_v8,array_ops,313700
frida_onenter_v8,memory_ops,2890264
frida_onenter_v8,hot_path,2682476
frida_onenter_v8,heavy_work,2663783
frida_onenter_v8,recursive,2583467
frida_onenter_v8,array_ops,293358
frida_onenter_v8,memory_ops,2632076
frida_onenter_v8,hot_path,2805483
frida_onenter_v8,heavy_work,2861304
frida_onenter_v8,recursive,2735365
frida_onenter_v8,array_ops,312732
frida_onenter_v8,memory_ops,2828298
frida_onenter_v8,hot_path,2712079
frida_onenter_v8,heavy_work,2767094
frida_onenter_v8,recursive,2617306
frida_onenter_v8,array_ops,295921
frida_onenter_v8,memory_ops,2652319
frida_onenter_v8,hot_path,2803038
frida_onenter_v8,heavy_work,2846397
frida_onenter_v8,recursive,2745962
frida_onenter_v8,array_ops,304211
frida_onenter_v8,memory_ops,2930453
frida_onleave_v8,hot_path,1725634
frida_onleave_v8,heavy_work,1736229
frida_onleave_v8,recursive,1643146
frida_onleave_v8,array_ops,190371
frida_onleave_v8,memory_ops,1708125
frida_onleave_v8,hot_path,1678839
frida_onleave_v8,heavy_work,1672865
frida_onleave_v8,recursive,1582226
frida_onleave_v8,array_ops,190718
frida_onleave_v8,memory_ops,1695562
frida_onleave_v8,hot_path,1701707
frida_onleave_v8,heavy_work,1727988
frida_onleave_v8,recursive,1681932
frida_onleave_v8,array_ops,196161
frida_onleave_v8,memory_ops,1678388
frida_onleave_v8,hot_path,1865877
frida_onleave_v8,heavy_work,1888461
frida_onleave_v8,recursive,1800078
frida_onleave_v8,array_ops,216008
frida_onleave_v8,memory_ops,1915934
frida_onleave_v8,hot_path,1654459
frida_onleave_v8,heavy_work,1700905
frida_onleave_v8,recursive,1620502
frida_onleave_v8,array_ops,190009
frida_onleave_v8,memory_ops,1713830
frida_onleave_v8,hot_path,1840161
frida_onleave_v8,heavy_work,1910018
frida_onleave_v8,recursive,1838653
frida_onleave_v8,array_ops,213572
frida_onleave_v8,memory_ops,1837426
frida_onleave_v8,hot_path,1654075
frida_onleave_v8,heavy_work,1730667
frida_onleave_v8,recursive,1586918
frida_onleave_v8,array_ops,187524
frida_onleave_v8,memory_ops,1630021
frida_onleave_v8,hot_path,1933116
frida_onleave_v8,heavy_work,2017011
frida_onleave_v8,recursive,1812078
frida_onleave_v8,array_ops,204787
frida_onleave_v8,memory_ops,1895098
frida_onleave_v8,hot_path,1813742
frida_onleave_v8,heavy_work,1838694
frida_onleave_v8,recursive,1783852
frida_onleave_v8,array_ops,226006
frida_onleave_v8,memory_ops,1927086
frida_onleave_v8,hot_path,1614259
frida_onleave_v8,heavy_work,1709400
frida_onleave_v8,recursive,1625899
frida_onleave_v8,array_ops,192749
frida_onleave_v8,memory_ops,1649551
frida_both_v8,hot_path,2715929
frida_both_v8,heavy_work,2698500
frida_both_v8,recursive,2669989
frida_both_v8,array_ops,292409
frida_both_v8,memory_ops,2774781
frida_both_v8,hot_path,2757960
frida_both_v8,heavy_work,2747371
frida_both_v8,recursive,2603558
frida_both_v8,array_ops,288531
frida_both_v8,memory_ops,2652958
frida_both_v8,hot_path,2722736
frida_both_v8,heavy_work,2673678
frida_both_v8,recursive,2676132
frida_both_v8,array_ops,284897
frida_both_v8,memory_ops,2680882
frida_both_v8,hot_path,2763280
frida_both_v8,heavy_work,2699350
frida_both_v8,recursive,2542720
frida_both_v8,array_ops,290464
frida_both_v8,memory_ops,2713348
frida_both_v8,hot_path,2724862
frida_both_v8,heavy_work,2770913
frida_both_v8,recursive,2651084
frida_both_v8,array_ops,290793
frida_both_v8,memory_ops,2677194
frida_both_v8,hot_path,2649844
frida_both_v8,heavy_work,2750658
frida_both_v8,recursive,2679363
frida_both_v8,array_ops,316094
frida_both_v8,memory_ops,2845807
frida_both_v8,hot_path,2862700
frida_both_v8,heavy_work,2915176
frida_both_v8,recursive,2797004
frida_both_v8,array_ops,313650
frida_both_v8,memory_ops,2837515
frida_both_v8,hot_path,2781647
frida_both_v8,heavy_work,2739334
frida_both_v8,recursive,2562803
frida_both_v8,array_ops,285740
frida_both_v8,memory_ops,2634287
frida_both_v8,hot_path,2749652
frida_both_v8,heavy_work,2753182
frida_both_v8,recursive,2664218
frida_both_v8,array_ops,292295
frida_both_v8,memory_ops,2688650
frida_both_v8,hot_path,2715166
frida_both_v8,heavy_work,2701072
frida_both_v8,recursive,2601593
frida_both_v8,array_ops,286191
frida_both_v8,memory_ops,2645258
frida_onenter_qjs,hot_path,1162855
frida_onenter_qjs,heavy_work,1239385
frida_onenter_qjs,recursive,1101401
frida_onenter_qjs,array_ops,138718
frida_onenter_qjs,memory_ops,1156097
frida_onenter_qjs,hot_path,1155291
frida_onenter_qjs,heavy_work,1216102
frida_onenter_qjs,recursive,1159440
frida_onenter_qjs,array_ops,143759
frida_onenter_qjs,memory_ops,1211682
frida_onenter_qjs,hot_path,1149085
frida_onenter_qjs,heavy_work,1291175
frida_onenter_qjs,recursive,1147644
frida_onenter_qjs,array_ops,139821
frida_onenter_qjs,memory_ops,1176451
frida_onenter_qjs,hot_path,1195123
frida_onenter_qjs,heavy_work,1237946
frida_onenter_qjs,recursive,1129535
frida_onenter_qjs,array_ops,143556
frida_onenter_qjs,memory_ops,1171724
frida_onenter_qjs,hot_path,1124564
frida_onenter_qjs,heavy_work,1233701
frida_onenter_qjs,recursive,1154636
frida_onenter_qjs,array_ops,139574
frida_onenter_qjs,memory_ops,1159988
frida_onenter_qjs,hot_path,1141789
frida_onenter_qjs,heavy_work,1236535
frida_onenter_qjs,recursive,1197090
frida_onenter_qjs,array_ops,146667
frida_onenter_qjs,memory_ops,1218341
frida_onenter_qjs,hot_path,1164716
frida_onenter_qjs,heavy_work,1224072
frida_onenter_qjs,recursive,1137471
frida_onenter_qjs,array_ops,143882
frida_onenter_qjs,memory_ops,1206873
frida_onenter_qjs,hot_path,1131563
frida_onenter_qjs,heavy_work,1234922
frida_onenter_qjs,recursive,1147298
